Symbol,Name
A028080,휴맥스홀딩스
A028150,GS홈쇼핑
A028300,에이치엘비
A029480,바른테크놀로지
A029960,코엔텍
A030190,NICE평가정보
A030270,에스마크
A030350,드래곤플라이
A030520,한글과컴퓨터
A030530,원익홀딩스
A030960,양지사
A031310,아이즈비전
A031330,에스에이엠티
A031390,녹십자셀
A031510,오스템
A031860,엔에스엔
A031980,피에스케이
A032040,C&S자산관리
A032080,아즈텍WB
A032190,다우데이타
A032280,삼일
A032500,케이엠더블유
A032540,TJ미디어
A032580,피델릭스
A032620,유비케어
A032680,소프트센
A032685,소프트센우
A032750,삼진
A032790,엠젠플러스
A032800,판타지오
A032820,우리기술
A032850,비트컴퓨터
A032860,GMR 머티리얼즈
A032940,원익
A032960,동일기연
A032980,바이온
A033050,제이엠아이
A033100,제룡전기
A033110,이디
A033130,디지틀조선
A033160,엠케이전자
A033170,시그네틱스
A033200,모아텍
A033230,인성정보
A033290,코웰패션
A033310,디케이디앤아이
A033320,제이씨현시스템
A033340,좋은사람들
A033430,디에스티
A033500,동성화인텍
A033540,파라텍
A033560,블루콤
A033600,이젠텍
A033640,네패스
A033790,서화정보통신
A033830,티비씨
A034230,파라다이스
A034810,해성산업
A034940,조아제약
A034950,한국기업평가
A035080,인터파크홀딩스
A035200,프럼파스트
A035290,에이원앤
A035460,기산텔레콤
A035480,마제스타
A035600,KG이니시스
A035610,솔본
A035620,바른손이앤에이
A035760,CJ오쇼핑
A035810,이지바이오
A035890,서희건설
A035900,JYP Ent.
A036000,예림당
A036010,아비코전자
A036030,KTH
A036090,위지트
A036120,SCI평가정보
A036170,씨티엘
A036180,영인프런티어
A036190,금화피에스시
A036200,유니셈
A036260,이매진아시아
A036420,제이콘텐트리
A036480,대성미생물
A036490,SK머티리얼즈
A036540,SFA반도체
A036560,영풍정밀
A036620,버추얼텍
A036630,세종텔레콤
A036640,HRS
A036670,KCI
A036690,코맥스
A036710,심텍홀딩스
A036800,나이스정보통신
A036810,에프에스티
A036830,솔브레인
A036890,진성티이씨
A036930,주성엔지니어링
A037070,파세코
A037230,한국팩키지
A037330,인지디스플레
A037350,성도이엔지
A037370,EG
A037400,우리조명
A037440,희림
A037460,삼지전자
A037760,쎄니트
A037950,엘컴텍
A038010,제일테크노스
A038060,루멘스
A038070,서린바이오
A038110,에코플라스틱
A038160,팍스넷
A038290,마크로젠
A038340,리젠
A038390,레드캡투어
A038460,바이오스마트
A038500,삼표시멘트
A038530,골드퍼시픽
A038540,텍셀네트컴
A038620,위즈코프
A038680,에스넷
A038870,에코바이오
A038880,아이에이
A038950,파인디지털
A039010,현대통신
A039020,이건홀딩스
A039030,이오테크닉스
A039200,오스코텍
A039230,폭스브레인
A039240,경남스틸
A039290,인포뱅크
A039310,세중
A039340,한국경제TV
A039420,케이엘넷
A039440,에스티아이
A039560,다산네트웍스
A039610,화성밸브
A039670,스포츠서울
A039740,한국정보공학
A039790,위노바
A039830,오로라
A039840,디오
A039860,나노엔텍
A039980,리노스
A040160,누리텔레콤
A040300,YTN
A040350,큐로컴
A040420,정상제이엘에스
A040610,SG&G
A040910,아이씨디
A041020,인프라웨어
A041140,넥슨지티
A041190,우리기술투자
A041440,에버다임
A041460,한국전자인증
A041510,에스엠
A041520,이라이콤
A041590,젬백스테크놀러지
A041830,인바디
A041910,에스텍파마
A041920,메디아나
A041930,동아화성
A041960,코미팜
A042040,케이피엠테크
A042110,에스씨디
A042370,비츠로테크
A042420,네오위즈홀딩스
A042500,링네트
A042510,라온시큐어
A042520,한스바이오메드
A042600,새로닉스
A042940,포워드컴퍼니스
A043090,팜스웰바이오
A043100,솔고바이오
A043150,바텍
A043200,파루
A043220,에이치엘비파워
A043260,성호전자
A043290,케이맥
A043340,에쎈테크
A043360,디지아이
A043370,평화정공
A043580,에임하이
A043590,크로바하이텍
A043610,지니뮤직
A043650,국순당
A043710,서울리거
A043910,자연과환경
A044060,조광ILI
A044180,KD건설
A044340,위닉스
A044480,유니더스
A044490,태웅
A044780,에이치케이
A044960,이-글 벳
A045060,오공
A045100,한양이엔지
A045300,성우테크론
A045340,토탈소프트
A045390,대아티아이
A045510,정원엔시스
A045520,크린앤사이언스
A045660,에이텍
A045890,동부라이텍
A045970,코아시아홀딩스
A046070,코다코
A046110,한일네트웍스
A046120,오르비텍
A046140,SBS콘텐츠허브
A046210,파나진
A046310,백금T&A
A046390,삼화네트웍스
A046440,KG모빌리언스
A046890,서울반도체
A046940,우원개발
A046970,우리로
A047080,한빛소프트
A047310,파워로직스
A047440,레이젠
A047560,이스트소프트
A047770,코데즈컴바인
A047820,초록뱀
A047920,씨트리
A048260,오스템임플란트
A048410,현대아이비티
A048430,유라테크
A048470,대동스틸
A048530,인트론바이오
A048550,SM C&C
A048770,TPC
A048830,엔피케이
A048870,시너지이노베이션
A048910,대원미디어
A049070,인탑스
A049080,기가레인
A049120,파인디앤씨
A049180,셀루메드
A049430,코메론
A049470,SGA
A049480,오픈베이스
A049520,유아이엘
A049550,잉크테크
A049630,재영솔루텍
A049720,고려신용정보
A049830,승일
A049950,미래컴퍼니
A049960,쎌바이오텍
A050090,휘닉스소재
A050110,캠시스
A050120,라이브플렉스
A050320,에스아이티글로벌
A050540,한국코퍼레이션
A050760,에스폴리텍
A050860,아세아텍
A050890,쏠리드
A050960,수산아이앤티
A051160,지어소프트
A051170,썬코어
A051360,토비스
A051370,인터플렉스
A051380,피씨디렉트
A051390,YW
A051490,나라엠앤디
A051500,CJ프레시웨이
A051780,큐로홀딩스
A051980,넥스트바이오홀딩스
A052020,에스티큐브
A052190,이에스에이
A052220,iMBC
A052260,SK바이오랜드
A052290,트레이스
A052300,W홀딩컴퍼니
A052330,코텍
A052400,코나아이
A052420,오성엘에스티
A052460,아이크래프트
A052600,한네트
A052670,제일바이오
A052710,아모텍
A052770,와이디온라인
A052790,액토즈소프트
A052860,아이앤씨
A052900,KMH하이텍
A053030,바이넥스
A053050,지에스이
A053060,세동
A053110,소리바다
A053160,프리엠스
A053260,금강철강
A053270,구영테크
A053280,예스24
A053290,능률교육
A053300,한국정보인증
A053350,이니텍
A053450,세코닉스
A053590,한국테크놀로지
A053610,프로텍
A053620,태양
A053660,현진소재
A053700,삼보모터스
A053800,안랩
A053950,경남제약
A053980,오상자이엘
A054040,한국컴퓨터
A054050,농우바이오
A054090,삼진엘앤디
A054180,중앙오션
A054210,이랜텍
A054220,비츠로시스
A054300,팬스타엔터프라이즈
A054340,엔알케이
A054410,케이피티
A054450,텔레칩스
A054540,삼영엠텍
A054620,APS홀딩스
A054630,에이디칩스
A054670,대한뉴팜
A054780,키이스트
A054800,아이디스홀딩스
A054920,한컴시큐어
A054930,유신
A054940,엑사이엔씨
A054950,제이브이엠
A056000,신스타임즈
A056080,유진로봇
A056090,유앤아이
A056190,에스에프에이
A056360,코위버
A056700,신화인터텍
A056730,포스링크
A057030,와이비엠넷
A057500,SKC 솔믹스
A057540,옴니시스템
A057680,옴니텔
A057880,토필드
A058110,멕아이씨에스
A058220,아리온
A058400,KNN
A058420,제이웨이
A058450,일야
A058470,리노공업
A058530,크레아플래닛
A058610,에스피지
A058630,엠게임
A058820,CMG제약
A059090,미코
A059100,아이컴포넌트
A059120,아진엑스텍
A059210,메타바이오메드
A060150,인선이엔티
A060230,이그잭스
A060240,룽투코리아
A060250,NHN한국사이버결제
A060260,뉴보텍
A060280,큐렉소
A060300,레드로버
A060310,3S
A060370,KT서브마린
A060380,동양에스텍
A060480,국일신동
A060540,에스에이티
A060560,홈센타홀딩스
A060570,아이리버
A060590,씨티씨바이오
A060720,KH바텍
A060900,퍼시픽바이오
A061040,알에프텍
A061250,화일약품
A061460,한진피앤씨
A061970,엘비세미콘
A062860,티엘아이
A063080,게임빌
A063170,서울옥션
A063440,에프엔씨애드컬쳐
A063570,한국전자금융
A063760,이엘피
A064090,에프앤리퍼블릭
A064240,홈캐스트
A064260,다날
A064290,인텍플러스
A064480,브리지텍
A064520,바른전자
A064550,바이오니아
A064760,티씨케이
A064800,필링크
A064820,케이프
A065060,지엔코
A065130,탑엔지니어링
A065150,MP그룹
A065160,에프티이앤이
A065170,넥스트BT
A065350,신성델타테크
A065420,에스아이리소스
A065440,이루온
A065450,빅텍
A065500,오리엔트정공
A065510,휴비츠
A065530,전파기지국
A065560,큐브스
A065570,삼영이엔씨
A065620,제낙스
A065650,메디프론
A065660,안트로젠
A065680,우주일렉트로
A065690,대진디엠피
A065710,서호전기
A065770,CS
A065940,바이오빌
A065950,웰크론
A066110,한프
A066130,하츠
A066310,큐에스아이
A066410,투윈글로벌
A066430,와이오엠
A066590,우수AMS
A066620,국보디자인
A066670,디스플레이텍
A066700,테라젠이텍스
A066790,씨씨에스
A066900,디에이피
A066910,손오공
A066970,엘앤에프
A066980,브레인콘텐츠
A067000,조이시티
A067010,이씨에스
A067080,대화제약
A067160,아프리카TV
A067170,오텍
A067280,멀티캠퍼스
A067290,JW신약
A067310,하나마이크론
A067390,아스트
A067570,엔브이에이치코리아
A067630,에이치엘비생명과학
A067730,로지시스
A067770,세진티에스
A067900,와이엔텍
A067920,이글루시큐리티
A067990,도이치모터스
A068050,팬엔터테인먼트
A068240,다원시스
A068270,셀트리온
A068330,일신바이오
A068760,셀트리온제약
A068790,DMS
A068930,디지털대성
A068940,아이씨케이
A069080,웹젠
A069110,코스온
A069140,누리플랜
A069330,유아이디
A069410,엔텔스
A069510,에스텍
A069540,라이트론
A069920,아이에스이커머스
A070300,한솔시큐어
A070590,한솔인티큐브
A071200,인피니트헬스케어
A071280,로체시스템즈
A071460,대유위니아
A071670,에이테크솔루션
A071850,캐스텍코리아
A072020,중앙백신
A072470,우리산업홀딩스
A072520,태양씨앤엘
A072770,네오디안테크놀로지
A072870,메가스터디
A072950,빛샘전자
A072990,에이치시티
A073010,케이에스피
A073070,넥센테크
A073110,엘엠에스
A073190,디비케이
A073490,이노와이어리스
A073540,에프알텍
A073560,우리손에프앤지
A073570,에이티테크놀러지
A073640,삼원테크
A074430,아미노로직스
A074600,원익QnC
A075130,플랜티넷
A075970,동국알앤에스
A076080,웰크론한텍
A076610,해성옵틱스
A077280,한컴지엠디
A077360,덕산하이메탈
A078020,이베스트투자증권
A078070,유비쿼스홀딩스
A078130,국일제지
A078140,대봉엘에스
A078150,HB테크놀러지
A078160,메디포스트
A078340,컴투스
A078350,한양디지텍
A078590,두올산업
A078600,대주전자재료
A078650,코렌
A078860,아이오케이
A078890,가온미디어
A078940,일경산업개발
A079000,와토스코리아
A079170,한창산업
A079190,EMW
A079370,제우스
A079650,서산
A079810,디이엔티
A079940,가비아
A079950,인베니아
A079960,동양이엔피
A079970,투비소프트
A080000,에스엔유
A080010,이상네트웍스
A080160,모두투어
A080220,제주반도체
A080420,모다이노칩
A080440,에스제이케이
A080470,성창오토텍
A080520,오디텍
A080530,코디
A080580,오킨스전자
A081150,티플랙스
A081580,성우전자
A081970,한솔넥스지
A082210,옵트론텍
A082270,젬백스
A082660,삼우엠스
A082800,루미마이크로
A082850,우리이티아이
A082920,비츠로셀
A083310,엘오티베큠
A083450,GST
A083470,KJ프리텍
A083500,에프엔에스테크
A083550,케이엠
A083640,인콘
A083650,비에이치아이
A083660,CSA 코스믹
A083790,크리스탈
A083930,아바코
A084110,휴온스글로벌
A084180,수성
A084370,유진테크
A084650,랩지노믹스
A084730,팅크웨어
A084990,바이로메드
A085370,루트로닉
A08537M,루트로닉3우C
A085660,차바이오텍
A085670,뉴프렉스
A085810,알티캐스트
A085910,네오티스
A086040,바이오톡스텍
A086060,진바이오텍
A086250,화신테크
A086390,유니테스트
A086450,동국제약
A086520,에코프로
A086670,비엠티
A086890,이수앱지스
A086900,메디톡스
A086960,MDS테크
A086980,쇼박스
A087010,펩트론
A087220,스틸플라워
A087260,모바일어플라이언스
A087600,픽셀플러스
A087730,네패스신소재
A088130,동아엘텍
A088290,이원컴포텍
A088390,이녹스
A088800,에이스테크
A088910,동우팜투테이블
A089010,켐트로닉스
A089030,테크윙
A089140,넥스턴
A089150,케이씨티
A089230,THE E&M
A089530,에이티세미콘
A089600,나스미디어
A089790,제이티
A089850,유비벨록스
A089890,고려반도체
A089980,상아프론테크
A090150,광진윈텍
A090360,로보스타
A090410,덕신하우징
A090460,비에이치
A090470,제이스텍
A090710,디에스티로봇
A090730,SIMPAC Metal
A090740,연이정보통신
A090850,이지웰페어
A091120,이엠텍
A091340,S&K폴리텍
A091440,텔레필드
A091580,상신이디피
A091590,남화토건
A091700,파트론
A091970,나노캠텍
A091990,셀트리온헬스케어
A092040,아미코젠
A092070,디엔에프
A092130,이크레더블
A092300,현우산업
A092460,한라IMS
A092600,넥스트칩
A092730,네오팜
A092870,엑시콘
A093190,빅솔론
A093320,케이아이엔엑스
A093380,풍강
A093520,매커스
A093640,다믈멀티미디어
A093920,서원인텍
A094170,동운아나텍
A094190,이엘케이
A094360,칩스앤미디어
A094480,갤럭시아컴즈
A094820,일진파워
A094840,슈프리마에이치큐
A094850,참좋은레져
A094860,코닉글로리
A094940,푸른기술
A094970,제이엠티
A095190,이엠코리아
A095270,웨이브일렉트로
A095300,엔에스브이
A095340,ISC
A095500,미래나노텍
A095610,테스
A095660,네오위즈
A095700,제넥신
A095910,에스에너지
A096040,이트론
A096240,청담러닝
A096350,대창솔루션
A096530,씨젠
A096610,알에프세미
A096630,에스코넥
A096640,멜파스
A096690,제이스테판
A096870,엘디티
A097520,엠씨넥스
A097780,에스맥
A097800,윈팩
A097870,효성오앤비
A098120,마이크로컨텍솔
A098460,고영
A098660,에스티오
A099190,아이센스
A099220,SDN
A099320,쎄트렉아이
A099410,동방선기
A099440,스맥
A099520,ITX엠투엠
A099660,한솔신텍
A099830,씨그널엔터테인먼트그룹
A100030,모바일리더
A100090,삼강엠앤티
A100120,뷰웍스
A100130,동국S&C
A100660,서암기계공업
A100700,세운메디칼
A101000,디엠씨
A101160,월덱스
A101170,우림기계
A101240,씨큐브
A101330,모베이스
A101390,아이엠
A101400,네오피델리티
A101490,에스앤에스텍
A101670,코리아에스이
A101680,한국정밀기계
A101730,조이맥스
A101930,인화정공
A102120,어보브반도체
A102210,해덕파워웨이
A102710,이엔에프테크놀로지
A102940,코오롱생명과학
A103230,에스앤더블류
A104040,대성파인텍
A104200,NHN벅스
A104460,동양피엔에프
A104480,티케이케미칼
A104540,코렌텍
A104830,원익머트리얼즈
A105330,케이엔더블유
A105550,트루윈
A105740,디케이락
A106080,알비케이이엠디
A106190,하이텍팜
A106240,파인테크닉스
A106520,디지탈옵틱
A108230,톱텍
A108320,실리콘웍스
A108380,대양전기공업
A108790,인터파크
A108860,셀바스AI
A109080,옵티시스
A109610,에스와이패널
A109740,디에스케이
A109820,진매트릭스
A109860,동일금속
A109960,에이프로젠 H&G
A111820,처음앤씨
A111870,삼본정밀전자
A112040,위메이드
A112240,에스에프씨
A113810,디젠스
A114120,크루셜텍
A114190,웰크론강원
A114450,KPX생명과학
A114570,지스마트글로벌
A114630,우노앤컴퍼니
A114810,아이원스
A115160,휴맥스
A115180,큐리언트
A115310,인포바인
A115440,우리넷
A115450,지트리비앤티
A115480,씨유메디칼
A115500,케이씨에스
A115530,씨엔플러스
A115570,스타플렉스
A115610,이미지스
A115960,연우
A117670,알파홀딩스
A118990,모트렉스
A119500,포메탈
A119610,인터로조
A119830,아이텍반도체
A119850,지엔씨에너지
A119860,다나와
A120240,대정화금
A121440,골프존뉴딘
A121600,나노신소재
A121800,비덴트
A121850,코이즈
A121890,에스디시스템
A122350,삼기오토모티브
A122450,KMH
A122640,예스티
A122690,서진오토모티브
A122800,썬텍
A122870,와이지엔터테인먼트
A122990,와이솔
A123010,옵토팩
A123040,엠에스오토텍
A123100,테라세미콘
A123260,사파이어테크놀로지
A123330,제닉
A123410,코리아에프티
A123420,선데이토즈
A123570,이엠넷
A123750,알톤스포츠
A123840,한일진공
A123860,아나패스
A124500,아이티센
A126600,코프라
A126640,화신정공
A126700,하이비젼시스템
A126870,뉴로스
A126880,제이엔케이히터
A127120,디엔에이링크
A127160,매직마이크로
A127710,아시아경제
A128660,피제이메탈
A130500,GH신소재
A130580,나이스디앤비
A130740,티피씨글로벌
A130960,CJ E&M
A131030,디에이치피코리아
A131090,시큐브
A131100,리켐
A131180,딜리
A131220,대한과학
A131290,티에스이
A131370,알서포트
A131390,피앤이솔루션
A131400,액트
A131760,파인텍
A131970,테스나
A133750,메가엠디
A134060,이퓨쳐
A134580,디엠티
A134780,화진
A136480,하림
A136510,쎄미시스코
A136540,윈스
A137400,피엔티
A137940,넥스트아이
A137950,제이씨케미칼
A138070,신진에스엠
A138080,오이솔루션
A138360,에이씨티
A138610,나이벡
A138690,엘아이에스
A139050,아이지스시스템
A139670,넥스트리밍
A140070,서플러스글로벌
A140410,메지온
A140520,대창스틸
A140670,알에스오토메이션
A140860,파크시스템스
A141000,비아트론
A141020,포티스
A141070,맥스로텍
A141080,레고켐바이오
A142210,유니트론텍
A142280,녹십자엠에스
A142760,바이오리더스
A143160,아이디스
A143240,사람인에이치알
A143540,영우디에스피
A144510,녹십자랩셀
A144960,뉴파워프라즈마
A145020,휴젤
A147760,마이크로프랜드
A147830,제룡산업
A148250,알엔투테크놀로지
A149940,모다
A149950,아바텍
A149980,하이로닉
A150840,인트로메딕
A150900,파수닷컴
A151860,KG ETS
A151910,나노스
A153460,네이블
A153490,우리이앤엘
A154040,솔루에타
A155650,와이엠씨
A155960,지디
A156100,엘앤케이바이오
A158310,인터불스
A159580,제로투세븐
A159910,스킨앤스킨
A160550,NEW
A160600,에스엔텍
A160980,싸이맥스
A161570,미동앤씨네마
A161580,필옵틱스
A166090,하나머티리얼즈
A166480,코아스템
A168330,내츄럴엔도텍
A170030,현대공업
A170790,파이오링크
A170920,엘티씨
A171010,램테크놀러지
A171120,라이온켐텍
A173940,에프엔씨엔터
A174880,장원테크
A175140,인포마크
A176440,에이치엔티
A177350,베셀
A177830,파버나인
A178320,서진시스템
A178780,유테크
A178920,SKC코오롱PI
A180400,엠지메드
A181340,이즈미디어
A182360,큐브엔터
A182400,에이티젠
A182690,테라셈
A183300,코미코
A184230,SGA솔루션즈
A185490,아이진
A187220,디티앤씨
A187270,신화콘텍
A187420,제노포커스
A187790,나노
A189300,인텔리안테크
A189690,포시에스
A189860,서전기전
A189980,흥국에프엔비
A190510,나무가
A191410,육일씨엔에쓰
A191420,테고사이언스
A192080,더블유게임즈
A192250,케이사인
A192390,윈하이텍
A192410,감마누
A192440,슈피겐코리아
A193250,와이제이엠게임즈
A194480,데브시스터즈
A194510,파티게임즈
A194610,우성아이비
A195440,퓨전데이타
A195990,유지인트
A196170,알테오젠
A196300,애니젠
A196450,온다 엔터테인먼트
A196490,디에이테크놀로지
A196700,웹스
A197210,리드
A198440,고려시멘트
A200130,콜마비앤에이치
A200230,텔콘
A200470,하이셈
A200670,휴메딕스
A200710,에이디테크놀로지
A200780,비씨월드제약
A201490,미투온
A203450,유니온커뮤니티
A203650,드림시큐리티
A203690,프로스테믹스
A204620,유안타제1호스팩
A204630,화이브라더스코리아
A204840,지엘팜텍
A204990,현성바이탈
A205100,엑셈
A205470,하이제2호스팩
A205500,액션스퀘어
A206400,엔터메이트
A206560,덱스터
A206640,바디텍메드
A206650,유바이오로직스
A206660,골든브릿지제2호스팩
A207720,엔에이치SL스팩
A207760,미스터블루
A207930,SK1호스팩
A208140,정다운
A208350,지란지교시큐리티
A208370,셀바스헬스케어
A208640,썸에이지
A208710,바이오로그디바이스
A208860,엔지스테크널러지
A211270,AP위성
A212560,네오오토
A213090,미래테크놀로지
A213420,덕산네오룩스
A214150,케이티비스팩2호
A214180,민앤지
A214270,퓨쳐스트림네트웍스
A214310,세미콘라이트
A214370,케어젠
A214430,아이쓰리시스템
A214450,파마리서치프로덕트
A214680,디알텍
A214870,에치디프로
A215000,골프존
A215090,유진에이씨피씨스팩2호
A215100,하나머스트4호스팩
A215200,메가스터디교육
A215360,우리산업
A215380,우정비에스씨
A215480,토박스코리아
A215580,대우스팩3호
A215600,신라젠
A215750,미래에셋제3호스팩
A215790,이노인스트루먼트
A216050,인크로스
A217190,제너셈
A217270,넵튠
A217480,에스디생명공학
A217500,하이제3호스팩
A217600,켐온
A217620,한화ACPC스팩
A217730,강스템바이오텍
A217810,엔에이치스팩7호
A217820,엔에스
A218150,하나머스트5호스팩
A218410,엔에이치스팩8호
A218710,키움스팩3호
A219130,타이거일렉
A219550,MP한강
A219580,골든브릿지제3호스팩
A219860,한화에이스스팩2호
A219960,유안타제2호스팩
A220100,퓨쳐켐
A220180,핸디소프트
A220260,케이프이에스스팩
A220630,해마로푸드서비스
A221200,유진스팩3호
A221610,한솔씨앤피
A221840,하이즈항공
A221950,케이비드림3호스팩
A221980,케이디켐
A222040,뉴트리바이오텍
A222080,씨아이에스
A222110,팬젠
A222390,케이비제8호스팩
A222420,쎄노텍
A222800,심텍
A222810,닉스테크
A222980,한국맥널티
A223040,교보5호스팩
A223310,이에스브이
A224060,코디엠
A224110,에이텍티앤
A225190,삼양옵틱스
A225330,씨엠에스에듀
A225430,IBKS제3호스팩
A225440,이베스트스팩3호
A225530,보광산업
A225570,넷게임즈
A225590,신영스팩2호
A225650,쿠첸
A226340,에이치엠씨3호스팩
A226350,아이엠텍
A226360,케이비드림4호스팩
A226440,동부스팩3호
A226850,키움스팩4호
A227610,아우딘퓨쳐스
A227950,골든브릿지제4호스팩
A228340,동양파일
A228850,레이언스
A230240,하나금융7호스팩
A230360,에코마케팅
A230490,동부제4호스팩
A230980,솔트웍스
A232140,와이아이케이
A232270,케이비제9호스팩
A232330,SK3호스팩
A234920,자이글
A235010,하이에이아이1호스팩
A236200,슈프리마
A237690,에스티팜
A237750,피앤씨테크
A237880,클리오
A238090,앤디포스
A238120,로고스바이오
A238490,힘스
A239340,미래에셋제5호스팩
A239610,에이치엘사이언스
A240540,한국4호스팩
A240810,원익IPS
A241520,DSC인베스트먼트
A241690,유니테크노
A241710,코스메카코리아
A241790,오션브릿지
A241820,피씨엘
A242040,교보비엔케이스팩
A243070,휴온스
A246690,티에스인베스트먼트
A246720,아스타
A250000,보라티알
A250060,모비스
A250930,케이비제10호스팩
A251370,와이엠티
A251630,브이원텍
A252500,IBKS지엠비스팩
A254120,IBKS제5호스팩
A256630,엔에이치스팩10호
A256840,엔에이치스팩11호
A257730,신한제3호스팩
A258790,케이비제11호스팩
A261200,하나금융9호스팩
A262830,대신밸런스제4호스팩
A263720,디앤씨미디어
A263770,신영스팩3호
A263800,데이타솔루션
A263860,지니언스
A264290,한화에이스스팩3호
A264450,유비쿼스
A264850,IBKS제6호스팩
A265480,미래에셋대우스팩1호
A265520,AP시스템
A265920,한화수성스팩
A267320,교보7호스팩
A267980,매일유업
A271740,한국제5호스팩
A272290,이녹스첨단소재
A273060,엔에이치스팩12호
A950110,SBI핀테크솔루션즈
A950130,엑세스바이오
A950140,잉글우드랩(Reg.S)
A900280,골든센츄리
A900040,차이나그레이트
A900120,씨케이에이치
A900250,크리스탈신소재
A900070,글로벌에스엠
A900100,뉴프라이드
